model_number age period_days binary_separation v_orb_1 v_orb_2 rl_1 rl_2 rl_relative_overflow_1 rl_relative_overflow_2 star_1_mass star_2_mass lg_mtransfer_rate lg_mstar_dot_1 mstar_dot_1 lg_mstar_dot_2 lg_system_mdot_1 lg_system_mdot_2 lg_wind_mdot_1 lg_wind_mdot_2 fixed_xfer_fraction eff_xfer_fraction J_orb Jdot jdot_mb jdot_gr jdot_ml jdot_ls jdot_missing_wind extra_jdot donor_index point_mass_index
175 9540203867.5714 1.91983628449338 8.64244335651644 130.835735990189 96.9153599927328 3.05298073436165 3.50147341737322 -0.575554222352668 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.56419479829104E+052 -2.71563836915178E+034 -2.69231732747997E+034 -2.33210416718162E+032 0 0 0 0 1 2
180 9612883105.47066 1.89608870385162 8.57102664887398 131.379689154134 97.3182882623216 3.02775247152559 3.47253904163585 -0.568996293782188 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.55771854069724E+052 -2.89849941164609E+034 -2.87449123767095E+034 -2.40081739751354E+032 0 0 0 0 1 2
185 9680805790.34849 1.87261014083369 8.50012525592316 131.926484563784 97.7233218990995 3.0027062458474 3.44381344489997 -0.562443289399359 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.55126226809665E+052 -3.09073051601455E+034 -3.06601427763347E+034 -2.4716238381078E+032 0 0 0 0 1 2
190 9744380413.36443 1.84938436037277 8.4296950738321 132.476461700566 98.1307123707897 2.9778264774565 3.41527875856191 -0.555897219837299 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.54482218983933E+052 -3.29261303288128E+034 -3.26716673064863E+034 -2.54463022326534E+032 0 0 0 0 1 2
195 9809160726.85375 1.82433918863472 8.35341651083474 133.079936358536 98.5777306359522 2.95088074305373 3.38437460916424 -0.548777357803639 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.53781691866062E+052 -3.51766253452577E+034 -3.49142990949733E+034 -2.62326250284389E+032 0 0 0 0 1 2
200 9877297712.10975 1.79631828537883 8.26765994229856 133.768343790746 99.0876620672191 2.92058686193867 3.34963045954038 -0.540712731692519 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.52990290428184E+052 -3.79431946186726E+034 -3.76712249047164E+034 -2.71969713956205E+032 0 0 0 0 1 2
205 9940190404.84617 1.76872895024541 8.18278739905548 134.460282334789 99.6002091368806 2.89060526660637 3.31524447148453 -0.532675576847551 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.5220299564512E+052 -4.08691505118371E+034 -4.05871779150188E+034 -2.81972596818288E+032 0 0 0 0 1 2
210 9998296102.09584 1.74157826498604 8.09883234828949 135.155414340024 100.115121733351 2.86094777948525 3.28123020417786 -0.524664051881595 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.51420184434173E+052 -4.39599228359744E+034 -4.36675852907796E+034 -2.92337545194825E+032 0 0 0 0 1 2
215 10052052541.9342 1.71485801183693 8.01578123527544 135.853779352532 100.632429150024 2.83160961230964 3.24758216594308 -0.516669167337841 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.50641799324091E+052 -4.72248901338363E+034 -4.6921812382223E+034 -3.03077751613255E+032 0 0 0 0 1 2
220 10101848113.5748 1.68856126003237 7.93362421219979 136.555387784434 101.152139099581 2.80258728629655 3.2142963669528 -0.50870239093015 -1 1 1.35 -99 -99 1.00000000000003E-99 -99 -99 -99 -99 -99 0.5 1 1.49867816266245E+052 -5.06659568057539E+034 -5.03517500795441E+034 -3.14206726209778E+032 0 0 0 0 1 2
